Level	Date and Time	Source	Event ID	Task Category
Information	20/06/2025 09:38:43	Windows Error Reporting	1001	None	"Fault bucket 2267519351351149284, type 4
Event Name: APPCRASH
Response: Not available
Cab Id: 0

Problem signature:
P1: OfficeClickToRun.exe
P2: 16.0.18827.20150
P3: 68424e92
P4: StackHash_f9d8
P5: 0.0.0.0
P6: 00000000
P7: c0000005
P8: PCH_EC_FROM_unknown+0x0000000000000000
P9: 
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.39af3871-e15b-4126-a6c4-103f74f46953.tmp.mdmp
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.e4070a67-7be8-4035-ad7b-90436c7e70b9.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_OfficeClickToRun_4db01fc9a9135671b2f47d51e11470b1949a120_f3a951af_cab_b040b663-0855-461a-8629-76fc4dfb646f\WPR_initiated_DiagTrackMiniLogger_OneTrace_User_Logger_20240808_1_EC_0_inject.etl
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.9eb3a2a5-47f7-464a-b192-e69a1fec7acd.tmp.etl
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_OfficeClickToRun_4db01fc9a9135671b2f47d51e11470b1949a120_f3a951af_cab_b040b663-0855-461a-8629-76fc4dfb646f\WPR_initiated_DiagTrackMiniLogger_WPR System Collector_inject.etl
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.233710ea-2b6b-4fc1-836f-0242654ad02f.tmp.etl
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.8a1b1916-2120-415d-b72d-d7e6640af160.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.188ee7d9-9e0d-4e7a-8875-5efb4ed8f194.tmp.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.a82a150d-e44c-4f47-ae0d-3a6905e52328.tmp.xml
\\?\C:\Windows\SystemTemp\WER.8b370988-1710-4f67-9a63-459a349a08ea.tmp.appcompat.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_OfficeClickToRun_4db01fc9a9135671b2f47d51e11470b1949a120_f3a951af_cab_b040b663-0855-461a-8629-76fc4dfb646f\memory.hdmp

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_OfficeClickToRun_4db01fc9a9135671b2f47d51e11470b1949a120_f3a951af_b040b663-0855-461a-8629-76fc4dfb646f

Analysis symbol: 
Rechecking for solution: 0
Report Id: 22fe4b3c-93fc-4e41-8536-1507107f22ff
Report Status: 268435552
Hashed bucket: fabccf3c76673b06ff77d8d6129c02e4
Cab Guid: 0"
Information	20/06/2025 09:38:41	Windows Error Reporting	1001	None	"Fault bucket , type 0
Event Name: APPCRASH
Response: Not available
Cab Id: 0

Problem signature:
P1: OfficeClickToRun.exe
P2: 16.0.18827.20150
P3: 68424e92
P4: StackHash_f9d8
P5: 0.0.0.0
P6: 00000000
P7: c0000005
P8: PCH_EC_FROM_unknown+0x0000000000000000
P9: 
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.39af3871-e15b-4126-a6c4-103f74f46953.tmp.mdmp
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.e4070a67-7be8-4035-ad7b-90436c7e70b9.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_OfficeClickToRun_4db01fc9a9135671b2f47d51e11470b1949a120_f3a951af_cab_b040b663-0855-461a-8629-76fc4dfb646f\WPR_initiated_DiagTrackMiniLogger_OneTrace_User_Logger_20240808_1_EC_0_inject.etl
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.9eb3a2a5-47f7-464a-b192-e69a1fec7acd.tmp.etl
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_OfficeClickToRun_4db01fc9a9135671b2f47d51e11470b1949a120_f3a951af_cab_b040b663-0855-461a-8629-76fc4dfb646f\WPR_initiated_DiagTrackMiniLogger_WPR System Collector_inject.etl
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.233710ea-2b6b-4fc1-836f-0242654ad02f.tmp.etl
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.8a1b1916-2120-415d-b72d-d7e6640af160.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.188ee7d9-9e0d-4e7a-8875-5efb4ed8f194.tmp.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.a82a150d-e44c-4f47-ae0d-3a6905e52328.tmp.xml
\\?\C:\Windows\SystemTemp\WER.8b370988-1710-4f67-9a63-459a349a08ea.tmp.appcompat.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_OfficeClickToRun_4db01fc9a9135671b2f47d51e11470b1949a120_f3a951af_cab_b040b663-0855-461a-8629-76fc4dfb646f\memory.hdmp

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_OfficeClickToRun_4db01fc9a9135671b2f47d51e11470b1949a120_f3a951af_cab_b040b663-0855-461a-8629-76fc4dfb646f

Analysis symbol: 
Rechecking for solution: 0
Report Id: 22fe4b3c-93fc-4e41-8536-1507107f22ff
Report Status: 100
Hashed bucket: 
Cab Guid: 0"
Error	20/06/2025 09:38:24	Application Error	1000	Application Crashing Events	"Faulting application name: OfficeClickToRun.exe, version: 16.0.18827.20150, time stamp: 0x68424e92
Faulting module name: unknown, version: 0.0.0.0, time stamp: 0x00000000
Exception code: 0xc0000005
Fault offset: 0x0000000000a35dd6
Faulting process id: 0x0xEDC
Faulting application start time: 0x0x1DBE189A4CC42C2
Faulting application path: C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe
Faulting module path: unknown
Report Id: 22fe4b3c-93fc-4e41-8536-1507107f22ff
Faulting package full name: 
Faulting package-relative application ID: "
Information	20/06/2025 09:38:06	Windows Error Reporting	1001	None	"Fault bucket 1228004173639373237, type 4
Event Name: APPCRASH
Response: Not available
Cab Id: 0

Problem signature:
P1: chrome.exe
P2: 137.0.7151.119
P3: 68508c91
P4: StackHash_f9d8
P5: 0.0.0.0
P6: 00000000
P7: c0000005
P8: PCH_B5_FROM_unknown+0x0000000000000000
P9: 
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.602cf51b-7685-441f-8f26-277ac7098858.tmp.mdmp
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.8c930e04-be7b-4494-b684-0c582521284a.tmp.WERInternalMetadata.xml
WPR_initiated_DiagTrackMiniLogger_OneTrace_User_Logger_20240808_1_EC_0_inject.etl
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.3e07c604-9e4a-49bc-8aaf-dd2bea525e6d.tmp.etl
WPR_initiated_DiagTrackMiniLogger_WPR System Collector_inject.etl
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.b8386d55-1295-44bc-94e2-b7eca6be9e3c.tmp.etl
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.cae0b20d-e611-4dd5-b0a6-eb332ef31a15.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.49de22fa-e6ad-4995-9f5c-729d0fff076f.tmp.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.79009145-ae2b-4af2-b7d9-c6f8d04f3dbf.tmp.xml

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_chrome.exe_cc83ab528ae3c490e774afd246d8424054fb1b92_fc697ea1_3fa7191a-fd63-46a2-8a33-1797f3ddb0b0

Analysis symbol: 
Rechecking for solution: 0
Report Id: f547df5e-e2ff-4dda-b896-27a20982645b
Report Status: 268435456
Hashed bucket: 9b85d87b4ac0170c810abf4a2878d1b5
Cab Guid: 0"
Error	20/06/2025 09:38:02	Application Error	1000	Application Crashing Events	"Faulting application name: chrome.exe, version: 137.0.7151.119, time stamp: 0x68508c91
Faulting module name: unknown, version: 0.0.0.0, time stamp: 0x00000000
Exception code: 0xc0000005
Fault offset: 0x0000000000dc5dd6
Faulting process id: 0x0x397C
Faulting application start time: 0x0x1DBE18A1C56C092
Faulting application path: C:\Program Files\Google\Chrome\Application\chrome.exe
Faulting module path: unknown
Report Id: f547df5e-e2ff-4dda-b896-27a20982645b
Faulting package full name: 
Faulting package-relative application ID: "
Information	20/06/2025 09:37:14	Windows Error Reporting	1001	None	"Fault bucket 1228004173639373237, type 4
Event Name: APPCRASH
Response: Not available
Cab Id: 0

Problem signature:
P1: chrome.exe
P2: 137.0.7151.119
P3: 68508c91
P4: StackHash_f9d8
P5: 0.0.0.0
P6: 00000000
P7: c0000005
P8: PCH_55_FROM_unknown+0x0000000000000000
P9: 
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.1567a445-86c0-4688-9e43-1e80a03f9d42.tmp.mdmp
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.49438ba7-08f1-47f1-9cb6-aa0d8310a627.tmp.WERInternalMetadata.xml
WPR_initiated_DiagTrackMiniLogger_OneTrace_User_Logger_20240808_1_EC_0_inject.etl
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.d19c8807-5b1f-4b16-9510-7fb8abf7f687.tmp.etl
WPR_initiated_DiagTrackMiniLogger_WPR System Collector_inject.etl
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.a88b8b55-412a-4535-9023-b1420b10a896.tmp.etl
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.495514ed-33d2-4e7f-8cbe-8b6b507a8b0b.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.ac37d28a-f12a-4543-839a-a3f2b687a6ae.tmp.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.1e7a3063-38bf-4262-8698-4986154a8b27.tmp.xml

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_chrome.exe_e287a4f196d71ad4c3ef8d7a33b97ee16b5648c_fc697ea1_c15c7e58-e970-4ce1-b835-beaf54cc4144

Analysis symbol: 
Rechecking for solution: 0
Report Id: 5b1afee5-8f83-418a-8061-be71f5de9ce1
Report Status: 268435456
Hashed bucket: 9b85d87b4ac0170c810abf4a2878d1b5
Cab Guid: 0"
Error	20/06/2025 09:37:10	Application Error	1000	Application Crashing Events	"Faulting application name: chrome.exe, version: 137.0.7151.119, time stamp: 0x68508c91
Faulting module name: unknown, version: 0.0.0.0, time stamp: 0x00000000
Exception code: 0xc0000005
Fault offset: 0x00000000021e5dd6
Faulting process id: 0x0x428
Faulting application start time: 0x0x1DBE18A0745E7D4
Faulting application path: C:\Program Files\Google\Chrome\Application\chrome.exe
Faulting module path: unknown
Report Id: 5b1afee5-8f83-418a-8061-be71f5de9ce1
Faulting package full name: 
Faulting package-relative application ID: "
Information	20/06/2025 09:36:49	Windows Error Reporting	1001	None	"Fault bucket 1228004173639373237, type 4
Event Name: APPCRASH
Response: Not available
Cab Id: 1543790368102035350

Problem signature:
P1: chrome.exe
P2: 137.0.7151.119
P3: 68508c91
P4: StackHash_f9d8
P5: 0.0.0.0
P6: 00000000
P7: c0000005
P8: PCH_7E_FROM_unknown+0x0000000000000000
P9: 
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.491a900b-2264-47de-8b4e-03b82d1164de.tmp.mdmp
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.cd79c0aa-4c4b-4c42-8f47-d84e7054414e.tmp.WERInternalMetadata.xml
WPR_initiated_DiagTrackMiniLogger_OneTrace_User_Logger_20240808_1_EC_0_inject.etl
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.7627e8ae-f553-4735-aab2-0eb8c29a8f75.tmp.etl
WPR_initiated_DiagTrackMiniLogger_WPR System Collector_inject.etl
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.ea23426f-e5d6-46f5-8679-d6020b407b54.tmp.etl
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.4ffe1f06-7ee9-4ce9-9783-9cc9b201b88e.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.d502d24c-acb0-4960-a227-46509010321a.tmp.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.3cdaa335-1d41-45b7-8267-8385a8f79a3a.tmp.xml
\\?\C:\Users\HP EliteBook\AppData\Local\Temp\WER.f2c28068-48d1-4075-84de-5f65f1db8d9f.tmp.appcompat.txt
\\?\C:\Users\HP EliteBook\AppData\Local\Temp\WER.47b254f0-b2a2-4362-83ce-94be7ca8ecea.tmp.WERDataCollectionStatus.txt

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_chrome.exe_9fa41d35da329df1afeca271215951afcb392_fc697ea1_cab_159a7531-b1e6-40c8-8478-a2affddf05df

Analysis symbol: 
Rechecking for solution: 0
Report Id: cf1945a6-af3f-47ed-8e5d-39ac546ed01d
Report Status: 268435464
Hashed bucket: 9b85d87b4ac0170c810abf4a2878d1b5
Cab Guid: 12646163-8960-4c65-856c-a52912642f96"
Error	20/06/2025 09:36:34	Application Error	1000	Application Crashing Events	"Faulting application name: chrome.exe, version: 137.0.7151.119, time stamp: 0x68508c91
Faulting module name: unknown, version: 0.0.0.0, time stamp: 0x00000000
Exception code: 0xc0000005
Fault offset: 0x00000000021c5dd6
Faulting process id: 0x0x3F00
Faulting application start time: 0x0x1DBE18A068689E8
Faulting application path: C:\Program Files\Google\Chrome\Application\chrome.exe
Faulting module path: unknown
Report Id: cf1945a6-af3f-47ed-8e5d-39ac546ed01d
Faulting package full name: 
Faulting package-relative application ID: "
Information	20/06/2025 09:33:37	Windows Error Reporting	1001	None	"Fault bucket 108477981719, type 1
Event Name: APPCRASH
Response: Not available
Cab Id: 0

Problem signature:
P1: jusched.exe
P2: 2.8.111.14
P3: 57e49ac8
P4: StackHash_2beb
P5: 0.0.0.0
P6: 00000000
P7: c0000005
P8: PCH_D2_FROM_ntdll+0x0007712C
P9: 
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.abdac5e8-6e15-4c41-b412-542956cb08a6.tmp.mdmp
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.672f3286-9413-4159-9807-9e869aee0624.tmp.WERInternalMetadata.xml
WPR_initiated_DiagTrackMiniLogger_OneTrace_User_Logger_20240808_1_EC_0_inject.etl
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.4da17010-1c22-4a1a-9bc0-e54f18bb38bd.tmp.etl
WPR_initiated_DiagTrackMiniLogger_WPR System Collector_inject.etl
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.995a0bd7-e5f9-458b-934e-ebb449545499.tmp.etl
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.d8177945-8fa8-429e-8064-24bbceac5d07.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.71255b87-df7a-4b12-99ad-fb375d82da8e.tmp.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.2f8415bf-85b8-4255-a194-ce619dc40e99.tmp.xml

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_jusched.exe_e4e96d82dc38cc8c1e9496934b134e3324a1b619_45d7fb91_36ebaa45-1d78-4170-96e1-677b20ecb6b0

Analysis symbol: 
Rechecking for solution: 0
Report Id: ef57b438-7bc1-4dae-9e1e-70a4c4a83622
Report Status: 268435456
Hashed bucket: d3c43fe2b49009a24987775425690d91
Cab Guid: 0"
